id	status	profile	category	title	description	source	spec	node	test_path	proof
WM-FEAT-0016	required	full	Classic Client	gag/highlight/substitute triggers	Provide gag/highlight/substitute triggers under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0016	LF-009
WM-FEAT-0017	required	full	Classic Client	multi-state triggers	Provide multi-state triggers under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0017	LF-009
WM-FEAT-0018	required	full	Classic Client	spellcheck/autocorrect	Provide spellcheck/autocorrect under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-007	EP-012	tests/wiremudder/ep012/feature-0018	LF-012
WM-FEAT-0019	required	full	Classic Client	tab/entity/command-template completion	Provide tab/entity/command-template completion under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-007	EP-012	tests/wiremudder/ep012/feature-0019	LF-012
WM-FEAT-0020	required	full	Classic Client	logging/transcripts	Provide logging/transcripts under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-005	EP-009	tests/wiremudder/ep009/feature-0020	LF-009
WM-FEAT-0021	required	full	Classic Client	layouts, panes, dashboards, themes	Provide layouts, panes, dashboards, themes under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-007	EP-012	tests/wiremudder/ep012/feature-0021	LF-012
WM-FEAT-0022	required	full	Protocol	Telnet basics	Provide Telnet basics under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0022	LF-011
WM-FEAT-0023	required	full	Protocol	TLS/telnets path	Provide TLS/telnets path under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0023	LF-011
WM-FEAT-0024	required	full	Protocol	ANSI/xterm/truecolor	Provide ANSI/xterm/truecolor under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0024	LF-011
WM-FEAT-0025	required	full	Protocol	MCCP	Provide MCCP under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0025	LF-011
WM-FEAT-0026	required	full	Protocol	GMCP	Provide GMCP under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0026	LF-011
WM-FEAT-0027	required	full	Protocol	MSDP	Provide MSDP under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0027	LF-011
WM-FEAT-0028	required	full	Protocol	MSSP	Provide MSSP under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0028	LF-011
WM-FEAT-0029	required	full	Protocol	MXP	Provide MXP under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0029	LF-011
WM-FEAT-0030	required	full	Protocol	MSP	Provide MSP under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0030	LF-011
WM-FEAT-0031	required	full	Protocol	MCP/simpleedit path	Provide MCP/simpleedit path under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0031	LF-011
WM-FEAT-0032	required	full	Protocol	NAWS	Provide NAWS under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0032	LF-011
WM-FEAT-0033	required	full	Protocol	CHARSET	Provide CHARSET under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0033	LF-011
WM-FEAT-0034	required	full	Protocol	EOR	Provide EOR under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0034	LF-011
WM-FEAT-0035	research-decision-required	future	Protocol	Pueblo research	Provide Pueblo research under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0035	LF-011
WM-FEAT-0036	research-decision-required	future	Protocol	Simutronics/GSL research	Provide Simutronics/GSL research under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-011	tests/wiremudder/ep011/feature-0036	LF-011
WM-FEAT-0037	required	full	AI and Memory	local and remote AI provider adapters	Provide local and remote AI provider adapters under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-013	EP-016	tests/wiremudder/ep016/feature-0037	LF-016
WM-FEAT-0038	required	full	AI and Memory	AI Provider Router	Provide AI Provider Router under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-013	EP-016	tests/wiremudder/ep016/feature-0038	LF-016
WM-FEAT-0039	required	full	AI and Memory	privacy modes	Provide privacy modes under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-017	tests/wiremudder/ep017/feature-0039	LF-017
WM-FEAT-0040	required	full	AI and Memory	Player Copilot	Provide Player Copilot under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-017	tests/wiremudder/ep017/feature-0040	LF-017
WM-FEAT-0041	required	full	AI and Memory	Guarded Autopilot	Provide Guarded Autopilot under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-019	tests/wiremudder/ep019/feature-0041	LF-019
WM-FEAT-0042	required	full	AI and Memory	Soul.md personas	Provide Soul.md personas under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-018	tests/wiremudder/ep018/feature-0042	LF-018
WM-FEAT-0043	required	full	AI and Memory	Soul.md Studio	Provide Soul.md Studio under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-018	tests/wiremudder/ep018/feature-0043	LF-018
WM-FEAT-0044	required	full	AI and Memory	Agent Skill Tree	Provide Agent Skill Tree under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-018	tests/wiremudder/ep018/feature-0044	LF-018
WM-FEAT-0045	required	full	AI and Memory	Agent Council	Provide Agent Council under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-018	tests/wiremudder/ep018/feature-0045	LF-018
WM-FEAT-0046	required	full	AI and Memory	AI Confidence Meter	Provide AI Confidence Meter under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-017	tests/wiremudder/ep017/feature-0046	LF-017
WM-FEAT-0047	required	full	AI and Memory	AI `Why?` explanations	Provide AI `Why?` explanations under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-017	tests/wiremudder/ep017/feature-0047	LF-017
WM-FEAT-0048	required	full	AI and Memory	Context Distillation Engine	Provide Context Distillation Engine under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-013	EP-015	tests/wiremudder/ep015/feature-0048	LF-015
WM-FEAT-0049	required	full	AI and Memory	Token Budget Dashboard	Provide Token Budget Dashboard under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-013	EP-015	tests/wiremudder/ep015/feature-0049	LF-015
WM-FEAT-0050	required	full	AI and Memory	World Brain	Provide World Brain under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-012	EP-021	tests/wiremudder/ep021/feature-0050	LF-021
WM-FEAT-0051	required	full	AI and Memory	World Bible	Provide World Bible under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-012	EP-021	tests/wiremudder/ep021/feature-0051	LF-021
WM-FEAT-0052	required	full	AI and Memory	RAG memory	Provide RAG memory under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-012	EP-021	tests/wiremudder/ep021/feature-0052	LF-021
WM-FEAT-0053	required	full	AI and Memory	Time Machine Memory	Provide Time Machine Memory under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-012	EP-021	tests/wiremudder/ep021/feature-0053	LF-021
WM-FEAT-0054	required	full	AI and Memory	Quest Compass	Provide Quest Compass under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-020	tests/wiremudder/ep020/feature-0054	LF-020
WM-FEAT-0055	required	full	AI and Memory	Tactical HUD	Provide Tactical HUD under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-020	tests/wiremudder/ep020/feature-0055	LF-020
WM-FEAT-0056	required	full	AI and Memory	Personal Narrator	Provide Personal Narrator under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-014	EP-020	tests/wiremudder/ep020/feature-0056	LF-020
WM-FEAT-0057	required	full	Voice	real-time conversational Voice Companion	Provide real-time conversational Voice Companion under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0057	LF-024
WM-FEAT-0058	required	full	Voice	push-to-talk and hold-to-talk	Provide push-to-talk and hold-to-talk under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0058	LF-024
WM-FEAT-0059	required	full	Voice	optional wake phrase after opt-in	Provide optional wake phrase after opt-in under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0059	LF-024
WM-FEAT-0060	required	full	Voice	local-first STT/TTS	Provide local-first STT/TTS under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0060	LF-024
WM-FEAT-0061	required	full	Voice	opt-in remote voice providers	Provide opt-in remote voice providers under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0061	LF-024
WM-FEAT-0062	required	full	Voice	voice macros	Provide voice macros under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0062	LF-024
WM-FEAT-0063	required	full	Voice	spoken room/map/quest/combat/setup summaries	Provide spoken room/map/quest/combat/setup summaries under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0063	LF-024
WM-FEAT-0064	required	full	Voice	per-character voice profiles	Provide per-character voice profiles under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0064	LF-024
WM-FEAT-0065	required	full	Voice	per-agent voice styles for copilot, mapper, quest, safety, narrator, renderer, and help agents	Provide per-agent voice styles for copilot, mapper, quest, safety, narrator, renderer, and help agents under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0065	LF-024
WM-FEAT-0066	required	full	Voice	barge-in/cancel	Provide barge-in/cancel under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0066	LF-024
WM-FEAT-0067	required	full	Voice	subtitles/transcript controls	Provide subtitles/transcript controls under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0067	LF-024
WM-FEAT-0068	required	full	Voice	accessibility spoken mode	Provide accessibility spoken mode under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-015	EP-024	tests/wiremudder/ep024/feature-0068	LF-024
WM-FEAT-0069	required	full	Renderer and Soundscape	original retro tile/sprite/diorama renderer	Provide original retro tile/sprite/diorama renderer under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-016	EP-025	tests/wiremudder/ep025/feature-0069	LF-025
WM-FEAT-0070	required	full	Renderer and Soundscape	persistent room backdrops	Provide persistent room backdrops under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-016	EP-025	tests/wiremudder/ep025/feature-0070	LF-025
WM-FEAT-0071	required	full	Renderer and Soundscape	graphical emits for NPCs, mobs, animals, players, PKers/PvPers, items, spells, combat, movement, doors, weather, ambience, and room events	Provide graphical emits for NPCs, mobs, animals, players, PKers/PvPers, items, spells, combat, movement, doors, weather, ambience, and room events under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-016	EP-025	tests/wiremudder/ep025/feature-0071	LF-025
WM-FEAT-0072	required	full	Renderer and Soundscape	static/low-power/no-animation modes	Provide static/low-power/no-animation modes under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-016	EP-025	tests/wiremudder/ep025/feature-0072	LF-025
WM-FEAT-0073	required	full	Renderer and Soundscape	text-only fallback	Provide text-only fallback under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-016	EP-025	tests/wiremudder/ep025/feature-0073	LF-025
WM-FEAT-0074	required	full	Renderer and Soundscape	style capsules from World Bible	Provide style capsules from World Bible under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-016	EP-025	tests/wiremudder/ep025/feature-0074	LF-025
WM-FEAT-0075	required	full	Renderer and Soundscape	soundscape studio	Provide soundscape studio under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-016	EP-026	tests/wiremudder/ep026/feature-0075	LF-026
WM-FEAT-0076	required	full	Renderer and Soundscape	room/area/combat/boss/weather/death/victory audio bindings	Provide room/area/combat/boss/weather/death/victory audio bindings under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-016	EP-026	tests/wiremudder/ep026/feature-0076	LF-026
WM-FEAT-0077	required	full	Renderer and Soundscape	local/user-owned/signed/licensed assets	Provide local/user-owned/signed/licensed assets under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-016	EP-025	tests/wiremudder/ep025/feature-0077	LF-025
WM-FEAT-0078	required	full	Multi-Session and Routing	multiple tabs/windows	Provide multiple tabs/windows under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-017	EP-023	tests/wiremudder/ep023/feature-0078	LF-023
WM-FEAT-0079	required	full	Multi-Session and Routing	Character Memory Profiles	Provide Character Memory Profiles under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-010	EP-007	tests/wiremudder/ep007/feature-0079	LF-007
WM-FEAT-0080	required	full	Multi-Session and Routing	per-character default network routing profile	Provide per-character default network routing profile under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0080	LF-007
WM-FEAT-0081	required	full	Multi-Session and Routing	direct/system-network profile	Provide direct/system-network profile under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-017	EP-023	tests/wiremudder/ep023/feature-0081	LF-023
WM-FEAT-0082	required	full	Multi-Session and Routing	SOCKS5 profile	Provide SOCKS5 profile under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0082	LF-007
WM-FEAT-0083	required	full	Multi-Session and Routing	HTTP CONNECT profile	Provide HTTP CONNECT profile under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-017	EP-023	tests/wiremudder/ep023/feature-0083	LF-023
WM-FEAT-0084	required	full	Multi-Session and Routing	SOCKS4a profile	Provide SOCKS4a profile under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0084	LF-007
WM-FEAT-0085	required	full	Multi-Session and Routing	Tor-compatible local SOCKS endpoint profile	Provide Tor-compatible local SOCKS endpoint profile under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0085	LF-007
WM-FEAT-0086	required	full	Multi-Session and Routing	SSH dynamic-forward profile	Provide SSH dynamic-forward profile under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0086	LF-007
WM-FEAT-0087	required	full	Multi-Session and Routing	external VPN metadata profiles for WireGuard/OpenVPN/system VPN routes	Provide external VPN metadata profiles for WireGuard/OpenVPN/system VPN routes under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0087	LF-007
WM-FEAT-0088	research-decision-required	future	Multi-Session and Routing	future interface binding	Provide future interface binding under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0088	LF-007
WM-FEAT-0089	research-decision-required	future	Multi-Session and Routing	future VM/container/network namespace profile	Provide future VM/container/network namespace profile under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0089	LF-007
WM-FEAT-0090	research-decision-required	future	Multi-Session and Routing	future self-hosted relay profile	Provide future self-hosted relay profile under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0090	LF-007
WM-FEAT-0091	required	full	Multi-Session and Routing	explicit egress verification	Provide explicit egress verification under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0091	LF-007
WM-FEAT-0092	required	full	Multi-Session and Routing	routing audit log	Provide routing audit log under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-006	EP-007	tests/wiremudder/ep007/feature-0092	LF-007
WM-FEAT-0093	required	full	Privacy and Security	Privacy Firewall	Provide Privacy Firewall under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-010	EP-006	tests/wiremudder/ep006/feature-0093	LF-006
WM-FEAT-0094	required	full	Privacy and Security	Local Only Lockdown	Provide Local Only Lockdown under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-010	EP-006	tests/wiremudder/ep006/feature-0094	LF-006
WM-FEAT-0095	required	full	Privacy and Security	Secrets Vault	Provide Secrets Vault under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-010	EP-006	tests/wiremudder/ep006/feature-0095	LF-006
WM-FEAT-0096	required	full	Privacy and Security	redaction middleware	Provide redaction middleware under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-010	EP-006	tests/wiremudder/ep006/feature-0096	LF-006
WM-FEAT-0097	required	full	Privacy and Security	immutable audit timeline	Provide immutable audit timeline under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-010	EP-006	tests/wiremudder/ep006/feature-0097	LF-006
WM-FEAT-0098	required	full	Privacy and Security	plugin/package permission firewall	Provide plugin/package permission firewall under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0098	LF-010
WM-FEAT-0099	required	full	Privacy and Security	protected mic/listening state	Provide protected mic/listening state under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-010	EP-006	tests/wiremudder/ep006/feature-0099	LF-006
WM-FEAT-0100	required	full	Privacy and Security	AI context disclosure	Provide AI context disclosure under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-010	EP-006	tests/wiremudder/ep006/feature-0100	LF-006
WM-FEAT-0101	required	full	Privacy and Security	no hidden telemetry	Provide no hidden telemetry under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-010	EP-006	tests/wiremudder/ep006/feature-0101	LF-006
WM-FEAT-0102	required	full	Privacy and Security	signed updates	Provide signed updates under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-020	EP-034	tests/wiremudder/ep034/feature-0102	LF-034
WM-FEAT-0103	required	full	Privacy and Security	signed/provenance-aware packages	Provide signed/provenance-aware packages under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0103	LF-010
WM-FEAT-0104	required	full	Power User and Ecosystem	scripting runtime abstraction	Provide scripting runtime abstraction under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0104	LF-010
WM-FEAT-0105	required	full	Power User and Ecosystem	future Lua-compatible path	Provide future Lua-compatible path under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0105	LF-010
WM-FEAT-0106	required	full	Power User and Ecosystem	script editor/debugger/variable inspector	Provide script editor/debugger/variable inspector under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-022	tests/wiremudder/ep022/feature-0106	LF-022
WM-FEAT-0107	required	full	Power User and Ecosystem	Macro Forge	Provide Macro Forge under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-022	tests/wiremudder/ep022/feature-0107	LF-022
WM-FEAT-0108	required	full	Power User and Ecosystem	Trigger Test Lab	Provide Trigger Test Lab under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-022	tests/wiremudder/ep022/feature-0108	LF-022
WM-FEAT-0109	required	full	Power User and Ecosystem	command palette	Provide command palette under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-018	EP-027	tests/wiremudder/ep027/feature-0109	LF-027
WM-FEAT-0110	required	full	Power User and Ecosystem	profile templates	Provide profile templates under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0110	LF-010
WM-FEAT-0111	required	full	Power User and Ecosystem	world onboarding wizard	Provide world onboarding wizard under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-018	EP-027	tests/wiremudder/ep027/feature-0111	LF-027
WM-FEAT-0112	required	full	Power User and Ecosystem	per-world capability detector	Provide per-world capability detector under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-018	EP-027	tests/wiremudder/ep027/feature-0112	LF-027
WM-FEAT-0113	required	full	Power User and Ecosystem	package browser	Provide package browser under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0113	LF-010
WM-FEAT-0114	required	full	Power User and Ecosystem	world packs	Provide world packs under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0114	LF-010
WM-FEAT-0115	required	full	Power User and Ecosystem	command packs	Provide command packs under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0115	LF-010
WM-FEAT-0116	required	full	Power User and Ecosystem	trigger/macro packs	Provide trigger/macro packs under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0116	LF-010
WM-FEAT-0117	required	full	Power User and Ecosystem	renderer packs	Provide renderer packs under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0117	LF-010
WM-FEAT-0118	required	full	Power User and Ecosystem	soundscape packs	Provide soundscape packs under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0118	LF-010
WM-FEAT-0119	required	full	Power User and Ecosystem	Soul.md templates	Provide Soul.md templates under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-008	EP-010	tests/wiremudder/ep010/feature-0119	LF-010
WM-FEAT-0120	research-decision-required	future	Power User and Ecosystem	Mudlet/MUSHclient/TinTin/zMUD/CMUD importers/research paths	Provide Mudlet/MUSHclient/TinTin/zMUD/CMUD importers/research paths under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-021	EP-030	tests/wiremudder/ep030/feature-0120	LF-030
WM-FEAT-0121	required	full	Headless, Replay, and Developer	CLI/headless sessions	Provide CLI/headless sessions under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-017	EP-023	tests/wiremudder/ep023/feature-0121	LF-023
WM-FEAT-0122	required	full	Headless, Replay, and Developer	scenario files	Provide scenario files under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-017	EP-023	tests/wiremudder/ep023/feature-0122	LF-023
WM-FEAT-0123	required	full	Headless, Replay, and Developer	JSONL event output	Provide JSONL event output under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-017	EP-023	tests/wiremudder/ep023/feature-0123	LF-023
WM-FEAT-0124	required	full	Headless, Replay, and Developer	Headless Supervisor Dashboard	Provide Headless Supervisor Dashboard under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-017	EP-023	tests/wiremudder/ep023/feature-0124	LF-023
WM-FEAT-0125	required	full	Headless, Replay, and Developer	multi-session orchestration rules	Provide multi-session orchestration rules under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-017	EP-023	tests/wiremudder/ep023/feature-0125	LF-023
WM-FEAT-0126	required	full	Headless, Replay, and Developer	Session Replay	Provide Session Replay under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-019	EP-003	tests/wiremudder/ep003/feature-0126	LF-003
WM-FEAT-0127	required	full	Headless, Replay, and Developer	AI Debugger	Provide AI Debugger under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-019	EP-022	tests/wiremudder/ep022/feature-0127	LF-022
WM-FEAT-0128	required	full	Headless, Replay, and Developer	sanitized fixture generator	Provide sanitized fixture generator under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-019	EP-028	tests/wiremudder/ep028/feature-0128	LF-028
WM-FEAT-0129	required	full	Headless, Replay, and Developer	Compatibility Lab	Provide Compatibility Lab under the accepted WireMudder contracts and verification gates.	feature-catalog	SPEC-019	EP-003	tests/wiremudder/ep003/feature-0129	LF-003
