source	line	kind	text	feature_id	destination	disposition
first-generation-pack/.agent/PLANS.md	19	numbered-requirement	Idempotence and Recovery	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	20	numbered-requirement	Progress	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	21	numbered-requirement	Surprises & Discoveries	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	22	numbered-requirement	Decision Log	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	23	numbered-requirement	Outcomes & Retrospective	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	25	heading	Execution Rules	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	27	bullet	Execute one active ExecPlan only.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	28	bullet	Read `AGENTS.md`, `COMMANDS.md`, and this file first.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	29	bullet	Run `./scripts/preflight.sh` before editing.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	30	bullet	Complete milestones in order.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	31	bullet	Validate after every milestone.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	32	bullet	Update the ExecPlan after every milestone.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	33	bullet	Continue autonomously unless a STOP condition applies.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	34	bullet	Do not implement directly from `ROADMAP.md`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	36	heading	Milestone Rules	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	40	bullet	Goal.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	41	bullet	Files to read.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	42	bullet	Files to change.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	43	bullet	Exact edits expected.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	44	bullet	Validation command.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	45	bullet	Expected result.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	46	bullet	Recovery instruction.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	50	heading	Validation Rules	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	52	bullet	Use only commands from `COMMANDS.md`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	53	bullet	Do not invent commands.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	54	bullet	If a command is stale or missing, update `COMMANDS.md` first with repository evidence.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	55	bullet	Capture exact failures.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	56	bullet	Apply the anti-fixation retry budget.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	58	heading	Acceptance Rules	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	62	bullet	All acceptance criteria pass.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	63	bullet	Required validation commands pass.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	64	bullet	Progress checkboxes are updated.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	65	bullet	Final diff matches expected files or deviations are justified.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	66	bullet	Relevant docs/specs/commands are updated.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	67	bullet	No STOP condition remains active.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	69	heading	Idempotence Rules	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	71	bullet	Re-running a completed milestone should not duplicate code, fixtures, migrations, commands, or docs.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	72	bullet	Generated files must use deterministic names.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	73	bullet	Migrations must not be rewritten after creation.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	74	bullet	Test fixtures must be safe to regenerate only when the plan says so.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	75	bullet	Scripts must fail safely rather than silently pass placeholders.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	77	heading	Recovery Rules	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	79	bullet	If repository structure differs, inspect before editing and record the difference.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	80	bullet	If a command fails, follow `AGENTS.md` anti-fixation rules.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	81	bullet	If implementation path becomes unsafe, choose the smallest reversible path consistent with the spec.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	82	bullet	If no safe path exists, stop under a STOP condition and provide evidence.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	83	bullet	Do not delete user data or production-like data to recover.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	85	heading	Progress Update Rules	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	89	bullet	The milestone checkbox.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	90	bullet	Any newly discovered files or constraints.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	91	bullet	Any decisions made.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	92	bullet	Any validation command and result.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	93	bullet	Remaining risks.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	95	heading	Decision Log Rules	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	99	bullet	Package manager choices.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	100	bullet	Dependency additions.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	101	bullet	Layout deviations.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	102	bullet	New commands.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	103	bullet	API/contract names.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	104	bullet	Schema decisions.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	105	bullet	Security/privacy decisions.	-	SPEC-010; SPEC-022; EP-006; EP-033	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	106	bullet	Extra changed files.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	108	heading	Completion Rules	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	112	numbered-requirement	Run required final validation.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	113	numbered-requirement	Run `git diff --name-only`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	114	numbered-requirement	Compare changed files with the ExecPlan.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	115	numbered-requirement	Update `Outcomes & Retrospective`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/PLANS.md	116	numbered-requirement	Report changed files, commands run, results, decisions, assumptions, risks, and acceptance status.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	1	heading	Agent Readiness Checklist	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	5	bullet	[ ] Exactly one active ExecPlan is selected.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	6	bullet	[ ] Active ExecPlan is self-contained.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	7	bullet	[ ] Active ExecPlan lists exact files to read.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	8	bullet	[ ] Active ExecPlan lists exact files to change.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	9	bullet	[ ] Active ExecPlan lists exact validation commands.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	10	bullet	[ ] Validation commands exist in `COMMANDS.md`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	11	bullet	[ ] Expected command outputs are stated.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	12	bullet	[ ] Observable acceptance criteria are stated.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	13	bullet	[ ] Explicit non-goals are stated.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	14	bullet	[ ] STOP conditions are referenced from `AGENTS.md`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	15	bullet	[ ] Recovery rules are included.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	16	bullet	[ ] Bounded retry rule is included.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	17	bullet	[ ] Diff review rule is included.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	18	bullet	[ ] No hidden context is required.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	19	bullet	"[ ] No vague requirements such as ""clean up as needed."""	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	20	bullet	[ ] No roadmap-only implementation is requested.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/agent-readiness.md	21	bullet	[ ] Optional subsystem work is isolated from P0 unless the plan explicitly concerns that boundary.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	1	heading	Final Review Checklist	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	3	bullet	[ ] All ExecPlan acceptance criteria pass.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	4	bullet	[ ] Required final validation commands pass.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	5	bullet	[ ] `./scripts/verify.sh` run if required by plan.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	6	bullet	[ ] `git diff --name-only` run.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	7	bullet	[ ] Changed files match ExecPlan expected files.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	8	bullet	[ ] Extra changed files justified in Decision Log.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	9	bullet	[ ] Docs/specs/commands updated for behavior changes.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	10	bullet	[ ] Tests added/updated.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	11	bullet	[ ] No secrets committed.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	12	bullet	[ ] No real production/user data changed.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	13	bullet	[ ] No optional subsystem blocks P0.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	14	bullet	[ ] No runtime readiness overclaimed.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	15	bullet	[ ] Risks documented.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	16	bullet	[ ] `Outcomes & Retrospective` completed.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/final-review.md	17	bullet	[ ] Final response includes changed files, commands, results, decisions, assumptions, risks, acceptance status, and production-readiness status.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	1	heading	Implementation Checklist	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	3	bullet	[ ] Read `AGENTS.md`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	4	bullet	[ ] Read `COMMANDS.md`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	5	bullet	[ ] Read `.agent/PLANS.md`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	6	bullet	[ ] Read active ExecPlan.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	7	bullet	[ ] Read files listed in `Files to Read First`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	8	bullet	[ ] Run `./scripts/preflight.sh`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	9	bullet	[ ] Inspect existing patterns before editing.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	10	bullet	[ ] Implement one milestone at a time.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	11	bullet	[ ] Do not broaden scope.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	12	bullet	[ ] Do not invent commands/APIs/tables/routes/config keys/env vars.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	13	bullet	[ ] Do not add dependencies without checking existing manifests.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	14	bullet	[ ] Do not perform broad refactors.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	15	bullet	[ ] Add or update tests with behavior.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	16	bullet	[ ] Validate milestone with exact command.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	17	bullet	[ ] Update ExecPlan Progress after milestone.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	18	bullet	[ ] Record surprises and decisions.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/implementation.md	19	bullet	[ ] Continue unless STOP condition applies.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	1	heading	Incident Response Checklist	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	3	bullet	[ ] Detect: identify signal, report, log, or smoke failure.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	4	bullet	[ ] Triage: classify severity and affected scope.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	5	bullet	[ ] Preserve evidence without exposing secrets.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	6	bullet	[ ] Mitigate: disable optional subsystem, halt rollout, rollback, or provide workaround.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	7	bullet	[ ] Communicate: explain impact, privacy/data risk, and user action safely.	-	SPEC-010; SPEC-022; EP-006; EP-033	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	8	bullet	[ ] Resolve: implement fix through an ExecPlan or hotfix plan.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	9	bullet	[ ] Verify: run targeted regression and required smoke/full validation.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	10	bullet	[ ] Document: timeline, root cause, detection gap, fix, tests, docs.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	11	bullet	[ ] Follow up: update runbooks, specs, tests, and release process.	-	SPEC-020; EP-034; EP-035	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/incident-response.md	12	bullet	[ ] Do not request raw secrets, private transcripts, or unredacted diagnostics.	-	SPEC-019; EP-028; EP-029	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	1	heading	Preflight Checklist	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	5	bullet	[ ] Working directory is repository root containing `AGENTS.md`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	6	bullet	[ ] `COMMANDS.md` exists.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	7	bullet	[ ] `.agent/PLANS.md` exists.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	8	bullet	[ ] Active ExecPlan exists.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	9	bullet	[ ] Scripts exist in `scripts/`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	10	bullet	[ ] Scripts are executable or runnable with `sh`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	11	bullet	[ ] POSIX shell is available.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	12	bullet	[ ] Git is available.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	13	bullet	[ ] npm is available if npm remains selected.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	14	bullet	[ ] Cargo is available if Rust remains selected.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	15	bullet	[ ] Package manager evidence checked: lockfile and manifest.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
first-generation-pack/.agent/checklists/preflight.md	16	bullet	[ ] Environment variables documented in `ENVIRONMENT.md`.	-	SPEC-013; SPEC-014; EP-015 through EP-020	requirement-or-governance-mapped
