source	source_index	section	title	normalized_title	feature_id	spec	node
library/FEATURE_CATALOG(1).md	67	Voice Features	subtitles/transcript controls	subtitles transcript controls	WM-FEAT-0067	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	68	Voice Features	accessibility spoken mode	accessibility spoken mode	WM-FEAT-0068	SPEC-015	EP-024
library/FEATURE_CATALOG(1).md	69	Renderer and Soundscape Features	original retro tile/sprite/diorama renderer	original retro tile sprite diorama renderer	WM-FEAT-0069	SPEC-016	EP-025
library/FEATURE_CATALOG(1).md	70	Renderer and Soundscape Features	persistent room backdrops	persistent room backdrops	WM-FEAT-0070	SPEC-016	EP-025
library/FEATURE_CATALOG(1).md	71	Renderer and Soundscape Features	graphical emits for NPCs, mobs, animals, players, PKers/PvPers, items, spells, combat, movement, doors, weather, ambience, and room events	graphical emits for npcs mobs animals players pkers pvpers items spells combat movement doors weather ambience and room events	WM-FEAT-0071	SPEC-016	EP-025
library/FEATURE_CATALOG(1).md	72	Renderer and Soundscape Features	static/low-power/no-animation modes	static low power no animation modes	WM-FEAT-0072	SPEC-016	EP-025
library/FEATURE_CATALOG(1).md	73	Renderer and Soundscape Features	text-only fallback	text only fallback	WM-FEAT-0073	SPEC-016	EP-025
library/FEATURE_CATALOG(1).md	74	Renderer and Soundscape Features	style capsules from World Bible	style capsules from world bible	WM-FEAT-0074	SPEC-016	EP-025
library/FEATURE_CATALOG(1).md	75	Renderer and Soundscape Features	soundscape studio	soundscape studio	WM-FEAT-0075	SPEC-016	EP-026
library/FEATURE_CATALOG(1).md	76	Renderer and Soundscape Features	room/area/combat/boss/weather/death/victory audio bindings	room area combat boss weather death victory audio bindings	WM-FEAT-0076	SPEC-016	EP-026
library/FEATURE_CATALOG(1).md	77	Renderer and Soundscape Features	local/user-owned/signed/licensed assets	local user owned signed licensed assets	WM-FEAT-0077	SPEC-016	EP-025
library/FEATURE_CATALOG(1).md	78	Multi-Session and Routing Features	multiple tabs/windows	multiple tabs windows	WM-FEAT-0078	SPEC-017	EP-023
library/FEATURE_CATALOG(1).md	79	Multi-Session and Routing Features	Character Memory Profiles	character memory profiles	WM-FEAT-0079	SPEC-010	EP-007
library/FEATURE_CATALOG(1).md	80	Multi-Session and Routing Features	per-character default network routing profile	per character default network routing profile	WM-FEAT-0080	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	81	Multi-Session and Routing Features	direct/system-network profile	direct system network profile	WM-FEAT-0081	SPEC-017	EP-023
library/FEATURE_CATALOG(1).md	82	Multi-Session and Routing Features	SOCKS5 profile	socks5 profile	WM-FEAT-0082	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	83	Multi-Session and Routing Features	HTTP CONNECT profile	http connect profile	WM-FEAT-0083	SPEC-017	EP-023
library/FEATURE_CATALOG(1).md	84	Multi-Session and Routing Features	SOCKS4a profile	socks4a profile	WM-FEAT-0084	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	85	Multi-Session and Routing Features	Tor-compatible local SOCKS endpoint profile	tor compatible local socks endpoint profile	WM-FEAT-0085	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	86	Multi-Session and Routing Features	SSH dynamic-forward profile	ssh dynamic forward profile	WM-FEAT-0086	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	87	Multi-Session and Routing Features	external VPN metadata profiles for WireGuard/OpenVPN/system VPN routes	external vpn metadata profiles for wireguard openvpn system vpn routes	WM-FEAT-0087	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	88	Multi-Session and Routing Features	future interface binding	future interface binding	WM-FEAT-0088	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	89	Multi-Session and Routing Features	future VM/container/network namespace profile	future vm container network namespace profile	WM-FEAT-0089	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	90	Multi-Session and Routing Features	future self-hosted relay profile	future self hosted relay profile	WM-FEAT-0090	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	91	Multi-Session and Routing Features	explicit egress verification	explicit egress verification	WM-FEAT-0091	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	92	Multi-Session and Routing Features	routing audit log	routing audit log	WM-FEAT-0092	SPEC-006	EP-007
library/FEATURE_CATALOG(1).md	93	Privacy and Security Features	Privacy Firewall	privacy firewall	WM-FEAT-0093	SPEC-010	EP-006
library/FEATURE_CATALOG(1).md	94	Privacy and Security Features	Local Only Lockdown	local only lockdown	WM-FEAT-0094	SPEC-010	EP-006
library/FEATURE_CATALOG(1).md	95	Privacy and Security Features	Secrets Vault	secrets vault	WM-FEAT-0095	SPEC-010	EP-006
library/FEATURE_CATALOG(1).md	96	Privacy and Security Features	redaction middleware	redaction middleware	WM-FEAT-0096	SPEC-010	EP-006
library/FEATURE_CATALOG(1).md	97	Privacy and Security Features	immutable audit timeline	immutable audit timeline	WM-FEAT-0097	SPEC-010	EP-006
library/FEATURE_CATALOG(1).md	98	Privacy and Security Features	plugin/package permission firewall	plugin package permission firewall	WM-FEAT-0098	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	99	Privacy and Security Features	protected mic/listening state	protected mic listening state	WM-FEAT-0099	SPEC-010	EP-006
library/FEATURE_CATALOG(1).md	100	Privacy and Security Features	AI context disclosure	ai context disclosure	WM-FEAT-0100	SPEC-010	EP-006
library/FEATURE_CATALOG(1).md	101	Privacy and Security Features	no hidden telemetry	no hidden telemetry	WM-FEAT-0101	SPEC-010	EP-006
library/FEATURE_CATALOG(1).md	102	Privacy and Security Features	signed updates	signed updates	WM-FEAT-0102	SPEC-020	EP-034
library/FEATURE_CATALOG(1).md	103	Privacy and Security Features	signed/provenance-aware packages	signed provenance aware packages	WM-FEAT-0103	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	104	Power User and Ecosystem Features	scripting runtime abstraction	scripting runtime abstraction	WM-FEAT-0104	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	105	Power User and Ecosystem Features	future Lua-compatible path	future lua compatible path	WM-FEAT-0105	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	106	Power User and Ecosystem Features	script editor/debugger/variable inspector	script editor debugger variable inspector	WM-FEAT-0106	SPEC-008	EP-022
library/FEATURE_CATALOG(1).md	107	Power User and Ecosystem Features	Macro Forge	macro forge	WM-FEAT-0107	SPEC-008	EP-022
library/FEATURE_CATALOG(1).md	108	Power User and Ecosystem Features	Trigger Test Lab	trigger test lab	WM-FEAT-0108	SPEC-008	EP-022
library/FEATURE_CATALOG(1).md	109	Power User and Ecosystem Features	command palette	command palette	WM-FEAT-0109	SPEC-018	EP-027
library/FEATURE_CATALOG(1).md	110	Power User and Ecosystem Features	profile templates	profile templates	WM-FEAT-0110	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	111	Power User and Ecosystem Features	world onboarding wizard	world onboarding wizard	WM-FEAT-0111	SPEC-018	EP-027
library/FEATURE_CATALOG(1).md	112	Power User and Ecosystem Features	per-world capability detector	per world capability detector	WM-FEAT-0112	SPEC-018	EP-027
library/FEATURE_CATALOG(1).md	113	Power User and Ecosystem Features	package browser	package browser	WM-FEAT-0113	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	114	Power User and Ecosystem Features	world packs	world packs	WM-FEAT-0114	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	115	Power User and Ecosystem Features	command packs	command packs	WM-FEAT-0115	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	116	Power User and Ecosystem Features	trigger/macro packs	trigger macro packs	WM-FEAT-0116	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	117	Power User and Ecosystem Features	renderer packs	renderer packs	WM-FEAT-0117	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	118	Power User and Ecosystem Features	soundscape packs	soundscape packs	WM-FEAT-0118	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	119	Power User and Ecosystem Features	Soul.md templates	soul md templates	WM-FEAT-0119	SPEC-008	EP-010
library/FEATURE_CATALOG(1).md	120	Power User and Ecosystem Features	Mudlet/MUSHclient/TinTin/zMUD/CMUD importers/research paths	mudlet mushclient tintin zmud cmud importers research paths	WM-FEAT-0120	SPEC-021	EP-030
library/FEATURE_CATALOG(1).md	121	Headless, Replay, and Developer Features	CLI/headless sessions	cli headless sessions	WM-FEAT-0121	SPEC-017	EP-023
library/FEATURE_CATALOG(1).md	122	Headless, Replay, and Developer Features	scenario files	scenario files	WM-FEAT-0122	SPEC-017	EP-023
library/FEATURE_CATALOG(1).md	123	Headless, Replay, and Developer Features	JSONL event output	jsonl event output	WM-FEAT-0123	SPEC-017	EP-023
library/FEATURE_CATALOG(1).md	124	Headless, Replay, and Developer Features	Headless Supervisor Dashboard	headless supervisor dashboard	WM-FEAT-0124	SPEC-017	EP-023
library/FEATURE_CATALOG(1).md	125	Headless, Replay, and Developer Features	multi-session orchestration rules	multi session orchestration rules	WM-FEAT-0125	SPEC-017	EP-023
library/FEATURE_CATALOG(1).md	126	Headless, Replay, and Developer Features	Session Replay	session replay	WM-FEAT-0126	SPEC-019	EP-003
library/FEATURE_CATALOG(1).md	127	Headless, Replay, and Developer Features	AI Debugger	ai debugger	WM-FEAT-0127	SPEC-019	EP-022
library/FEATURE_CATALOG(1).md	128	Headless, Replay, and Developer Features	sanitized fixture generator	sanitized fixture generator	WM-FEAT-0128	SPEC-019	EP-028
library/FEATURE_CATALOG(1).md	129	Headless, Replay, and Developer Features	Compatibility Lab	compatibility lab	WM-FEAT-0129	SPEC-019	EP-003
library/FEATURE_CATALOG(1).md	130	Headless, Replay, and Developer Features	Protocol Museum fake MUD servers	protocol museum fake mud servers	WM-FEAT-0130	SPEC-019	EP-003
library/FEATURE_CATALOG(1).md	131	Headless, Replay, and Developer Features	performance benchmark suite	performance benchmark suite	WM-FEAT-0131	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	132	Headless, Replay, and Developer Features	local diagnostic bundles	local diagnostic bundles	WM-FEAT-0132	SPEC-019	EP-028
library/FEATURE_CATALOG(1).md	133	Headless, Replay, and Developer Features	future autonomous bug remediation	future autonomous bug remediation	WM-FEAT-0133	SPEC-019	EP-029
library/FEATURE_CATALOG(1).md	134	Performance Features	P0/P1/P2/P3/P4 priority rings	p0 p1 p2 p3 p4 priority rings	WM-FEAT-0134	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	135	Performance Features	bounded event bus	bounded event bus	WM-FEAT-0135	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	136	Performance Features	terminal frame buffer	terminal frame buffer	WM-FEAT-0136	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	137	Performance Features	batched IPC/UI updates	batched ipc ui updates	WM-FEAT-0137	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	138	Performance Features	queue metrics	queue metrics	WM-FEAT-0138	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	139	Performance Features	degradation/fallback per subsystem	degradation fallback per subsystem	WM-FEAT-0139	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	140	Performance Features	idle-only maintenance	idle only maintenance	WM-FEAT-0140	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	141	Performance Features	slow trigger quarantine	slow trigger quarantine	WM-FEAT-0141	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	142	Performance Features	renderer emit dropping/coalescing	renderer emit dropping coalescing	WM-FEAT-0142	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	143	Performance Features	voice cancellation and load shedding	voice cancellation and load shedding	WM-FEAT-0143	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	144	Performance Features	AI cancellation and provider fallback	ai cancellation and provider fallback	WM-FEAT-0144	SPEC-004	EP-032
library/FEATURE_CATALOG(1).md	145	Performance Features	token budget and cost audit	token budget and cost audit	WM-FEAT-0145	SPEC-004	EP-032
